id,hari,tanggal,bulan,tahun,judul,kota,deteksi_kendaraan,model_kendaraan,kondisi
6604122,Senin,6,3,2023.0,"Tragis! Jatuh Kena Lubang Jalan, Wanita Kediri Tewas Tertabrak Ambulans",Solo,"motor, bus",sedan,tewas
6603837,Senin,6,3,2023.0,"Truk Terbalik di Jalan Makassar-Maros, BBPJN Ungkap gegara Kelebihan Muatan",Makassar,"mobil, motor, truk",,
6603433,Senin,6,3,2023.0,"Pemotor Mabuk Tabrak 3 Satpol PP, Eri Minta Polisi Tindak Pelanggar Lalin",Surabaya,"mobil, motor",,
6603181,Senin,6,3,2023.0,Pelajar yang Tabrak Angkot Hingga Terbalik di Medan Masih Diperiksa Polisi,Medan,"mobil, truk","sedan, angkot",
6603180,Senin,6,3,2023.0,Jalan Perintis Kemerdekaan Makassar Rusak Parah Ancam Keselamatan Pengendara,Makassar,"mobil, motor, truk",,selamat
6603154,Senin,6,3,2023.0,Rumah Warga di Palembang Hancur Diseruduk Truk Pertamina,Palembang,"mobil, truk","sedan, taksi",
6602947,Senin,6,3,2023.0,"Jalan Perintis Kemerdekaan Makassar Rusak Penuh Lubang, Lalin Macet 1 Km",Makassar,"mobil, motor, truk",,
6602473,Minggu,5,3,2023.0,"Jip Masuk Jurang di Jalur Pacitan-Trenggalek, 2 Orang Tewas",Pacitan,"mobil, bus",sedan,"tewas, selamat"
6602467,Minggu,5,3,2023.0,Tabrakan Maut 2 Kereta di Yunani Berujung Pinta Maaf Perdana Menteri,Athena,kereta,,tewas
6601735,Minggu,5,3,2023.0,"Tabrakan Avanza vs Ambulans di Tol Amplas, 4 Orang Terluka",Medan,"mobil, bus",,selamat
6601665,Minggu,5,3,2023.0,Tabrakan Avanza Vs Ambulans di Pintu Gerbang Tol Amplas Medan,Medan,mobil,angkot,
